TABLE_NAME,TABLE_TYPE,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_KEY,EXTRA
customer_monthly_rollup,VIEW,billing_month,varchar(10),YES,NULL,,
customer_monthly_rollup,VIEW,customer_id,int,YES,NULL,,
customer_monthly_rollup,VIEW,total_invoiced_cash,"decimal(41,2)",YES,NULL,,
customer_monthly_rollup,VIEW,net_mrr_category,varchar(15),NO,,,
customersummary,VIEW,id,int,NO,0,,
customersummary,VIEW,Customer,varchar(255),NO,NULL,,
customersummary,VIEW,industry_id,int,YES,NULL,,
customersummary,VIEW,CustomerLocation,varchar(173),YES,NULL,,
customersummary,VIEW,ContractCount,bigint,NO,0,,
customersummary,VIEW,FirstSignDate,date,YES,NULL,,
customersummary,VIEW,FirstProjectedLiveDate,date,YES,NULL,,
customersummary,VIEW,ThresholdProjectedLiveDate,date,YES,NULL,,
executive_mrr_change_gold,VIEW,billing_month,varchar(10),YES,NULL,,
executive_mrr_change_gold,VIEW,customer_id,int,YES,NULL,,
executive_mrr_change_gold,VIEW,"Current Month Revenue","decimal(65,2)",YES,NULL,,
executive_mrr_change_gold,VIEW,"Previous Month Revenue","decimal(65,2)",YES,NULL,,
executive_mrr_change_gold,VIEW,"Net MRR Change","decimal(65,2)",YES,NULL,,
executive_mrr_change_gold,VIEW,"Net MRR Percent Change","decimal(65,8)",NO,0.00000000,,
monthlycontractmrrchange,VIEW,billing_month,varchar(10),YES,NULL,,
monthlycontractmrrchange,VIEW,customer_id,int,YES,NULL,,
monthlycontractmrrchange,VIEW,net_mrr_category,varchar(15),NO,,,
monthlycontractmrrchange,VIEW,revenue,"decimal(63,2)",YES,NULL,,
monthlycontractmrrchange,VIEW,previous_revenue,"decimal(63,2)",NO,0.00,,
monthlycontractmrrchange,VIEW,next_revenue,"decimal(63,2)",NO,0.00,,
mrr_churn_dictionary,VIEW,TABLE_NAME,varchar(64),YES,NULL,,
mrr_churn_dictionary,VIEW,TABLE_TYPE,"enum('BASE TABLE','VIEW','SYSTEM VIEW')",NO,NULL,,
mrr_churn_dictionary,VIEW,COLUMN_NAME,varchar(64),YES,NULL,,
mrr_churn_dictionary,VIEW,COLUMN_TYPE,mediumtext,NO,NULL,,
mrr_churn_dictionary,VIEW,IS_NULLABLE,varchar(3),NO,,,
mrr_churn_dictionary,VIEW,COLUMN_DEFAULT,text,YES,NULL,,
mrr_churn_dictionary,VIEW,COLUMN_KEY,"enum('','PRI','UNI','MUL')",NO,NULL,,
mrr_churn_dictionary,VIEW,EXTRA,varchar(256),YES,NULL,,
